Exchange Date,Close,Adjusted Close,Net,%Chg,Open,Low,High,Volume,Turnover - AUD,Flow,Column1,_1,_2,_3,_4
1/4/22,1.085,,0.075,0.07426,1.035,1.035,1.11,14697270,15888280,171499198,,,,,
12/31/21,1.01,,0.025,0.02538,0.995,0.99,1.03,5741722,5794677,155610918,,,,,
12/30/21,0.985,,-0.02,-0.0199,1.01,0.965,1.01,8247748,8182366,149816241,,,,,
12/29/21,1.005,,0.06,0.06349,0.955,0.955,1.04,13331241,13485249,157998607,,,,,
12/24/21,0.945,,0.06,0.0678,0.9,0.885,0.955,7660347,7072262,144513358,,,,,
12/23/21,0.885,,0.005,0.00568,0.89,0.885,0.915,7399130,6655349,137441096,,,,,
12/22/21,0.88,,0,0,0.92,0.875,0.933,7091597,6381907,130785747,,,,,
12/21/21,0.88,,0.005,0.00571,0.875,0.845,0.89,6172341,5367646,124403840,,,,,
12/20/21,0.875,,-0.055,-0.05914,0.945,0.875,0.945,9606153,8652734,119036194,,,,,
12/17/21,0.93,,0.075,0.08772,0.86,0.86,0.94,15748777,14191665,127688928,,,,,
12/16/21,0.855,,0.015,0.01786,0.865,0.84,0.875,5824415,5007581,113497263,,,,,
12/15/21,0.84,,0.005,0.00599,0.85,0.84,0.92,13677028,11983596,108489682,,,,,
12/14/21,0.835,,-0.055,-0.0618,0.865,0.83,0.865,7763057,6593791,96506086,,,,,
